date,open,high,low,close,Adj Close,volume
2019-01-24,70.0999984741211,71.80000305175781,69.75,70.25,70.25,617945
2019-01-25,70.30000305175781,71.5,69.30000305175781,69.55000305175781,69.55000305175781,421373
2019-01-28,69.55000305175781,72.80000305175781,67.4000015258789,72.69999694824219,72.69999694824219,733418
2019-01-29,72.75,74.4000015258789,71.5,74.05000305175781,74.05000305175781,497876
2019-01-30,74.5,77.5,74.5,77.1500015258789,77.1500015258789,1038913
2019-01-31,77.55000305175781,79.4000015258789,75.80000305175781,77.69999694824219,77.69999694824219,1574652
2019-02-01,77.9000015258789,80.0,76.3499984741211,79.5999984741211,79.5999984741211,935005
2019-02-04,80.0,84.69999694824219,79.9000015258789,84.1500015258789,84.1500015258789,1549955
2019-02-05,84.94999694824219,85.80000305175781,82.0999984741211,84.5999984741211,84.5999984741211,1260920
2019-02-06,85.0,85.0,80.0,81.05000305175781,81.05000305175781,1021503
2019-02-07,81.0,81.0,77.0999984741211,79.30000305175781,79.30000305175781,1345634
2019-02-08,79.05000305175781,82.5,78.05000305175781,82.3499984741211,82.3499984741211,757615
2019-02-11,82.44999694824219,83.8499984741211,81.19999694824219,81.8499984741211,81.8499984741211,394442
2019-02-12,81.69999694824219,84.55000305175781,81.69999694824219,83.94999694824219,83.94999694824219,469778
2019-02-13,84.0,84.9000015258789,81.0,81.5,81.5,337067
2019-02-14,81.75,82.69999694824219,79.5,81.9000015258789,81.9000015258789,423303
2019-02-15,82.0,82.69999694824219,80.0999984741211,81.5,81.5,213375
2019-02-18,81.0,81.5,80.0,81.25,81.25,198426
2019-02-19,81.5,81.69999694824219,77.5999984741211,77.69999694824219,77.69999694824219,995884
2019-02-20,80.0,81.94999694824219,76.0,77.30000305175781,77.30000305175781,2628951
2019-02-21,77.5,77.69999694824219,74.30000305175781,74.4000015258789,74.4000015258789,1253669
2019-02-22,75.0,78.4000015258789,75.0,77.69999694824219,77.69999694824219,1451480
